Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
"'A' STREET CLINIC OF CHIROPRACTIC, PLLC",602 681 514,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1020 A STREET SE, SUITE 4, AUBURN, WA, 98002-6063, UNITED STATES",DR DONALD OLSON,Active
128TH STREET CHIROPRACTIC CLINIC LLC,602 547 735,WA LIMITED LIABILITY COMPANY,"12812 101ST AVE CRT E # 104, PUYALLUP, WA, 98373, UNITED STATES",JOE KLEIN,Administratively Dissolved
12TH STREET CHIROPRACTIC INC.,601 685 100,WA PROFIT CORPORATION,,MEG J JACOBSON,Inactive
"180 CHIROPRACTIC WELLNESS CENTER, LLC",602 930 240,WA LIMITED LIABILITY COMPANY,"201 W NORTHRIVER DR, SUITE 170, SPOKANE, WA, 99201, UNITED STATES","NATIONAL REGISTERED AGENTS, INC.",Active
180 DEGREES CHIROPRACTIC PLLC,603 111 160,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"14120 152ND AVE SE, RENTON, WA, 98059, UNITED STATES",JENNIFER L ALIMENT,Administratively Dissolved
"1ST CHOICE CHIROPRACTIC, PS",602 171 043,WA PROFESSIONAL SERVICE CORPORATION,"2256 MOTTMAN RD SW STE C, TUMWATER, WA, 98512-4200, UNITED STATES",JASON A SYREK DC,Active
24 BONES CHIROPRACTIC PLLC,603 386 207,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"10121 W CLEARWATER AVE STE 112, KENNEWICK, WA, 99336-3500, UNITED STATES",COREY S NAY,Delinquent
"35TH AVENUE CHIROPRACTIC, PLLC",602 632 443,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"9455 35TH AVE SW, SEATTLE, WA, 98126-3898, UNITED STATES",TARO KUSUNOSE,Active
"360 CHIROPRACTIC, P.S.",602 760 406,WA PROFESSIONAL SERVICE CORPORATION,"5101 LACEY BLVD SE, LACEY, WA, 98503-2441, UNITED STATES",360 CHIROPRACTIC,Active
"410 CHIROPRACTIC, LLC",603 505 346,WA LIMITED LIABILITY COMPANY,"16202 64TH ST E STE 115, SUMNER, WA, 98390-3028, UNITED STATES",CASEY CARTER,Administratively Dissolved
509 CHIROPRACTIC LLC,604 146 644,WA LIMITED LIABILITY COMPANY,"1211 N 20TH AVE, PASCO, WA, 99301-4051, UNITED STATES",JONATHON HESLOP,Active
"8TH AVE CHIROPRACTIC AND MASSAGE, LLC",603 240 502,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"6204 8TH AVE NW, SEATTLE, WA, 98107, UNITED STATES",DAVID H HOATS D.C.,Administratively Dissolved
"A-1 CHIROPRACTIC, INC",603 098 778,WA PROFIT CORPORATION,,A-1 CHIROPRACTIC INC,Administratively Dissolved
"ABLE CHIROPRACTIC CENTER, INC., P.S.",176 001 405,WA PROFESSIONAL SERVICE CORPORATION,,LOREN N HENNAGIR,Inactive
ABLE CHIROPRACTIC CLINIC INC.,601 898 452,WA PROFIT CORPORATION,,GREGORY H HOULIS DC,Inactive
ABRAMS CHIROPRACTIC CLINIC PLLC,603 089 048,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"7815 GREENWOOD AVE N, SEATTLE, WA, 98103-4633, UNITED STATES",LEE PHELPS,Active
"ABSOLUTE CHIROPRACTIC AND WELLNESS CENTER, INC.",602 916 891,WA PROFIT CORPORATION,"120 E 1ST ST, CLE ELUM, WA, 98922-1124, UNITED STATES",DR. DAWN SMALLWOOD,Active
